,Symbol,Name
533,IBPOW,Indiabulls_Power_Limited
534,IBREALEST,Indiabulls_Real_Estate_Limited
535,IBSEC,Indiabulls_Securities_Limited
536,ICICIBANK,ICICI_Bank_Limited
537,ICIL,Indo_Count_Industries_Limited
538,ICRA,ICRA_Limited
539,ICSA,ICSA_(India)_Limited
540,IDBI,IDBI_Bank_Limited
541,IDEA,Idea_Cellular_Limited
542,IDFC,Infrastructure_Development_Finance_Company_Limited
543,IFBAGRO,IFB_Agro_Industries_Limited
544,IFBIND,IFB_Industries_Limited
545,IFCI,IFCI_Limited
546,IFGLREFRAC,IFGL_Refractories_Limited
547,IGARASHI,Igarashi_Motors_India_Limited
548,IGL,Indraprastha_Gas_Limited
549,IGPL,IG_Petrochemicals_Limited
550,IITL,Industrial_Investment_Trust_Limited
551,IL&FSENGG,IL&FS_Engineering_and_Construction_Company_Limited
552,IL&FSTRANS,IL&FS_Transportation_Networks_Limited
553,IMFA,Indian_Metals_&_Ferro_Alloys_Limited
554,IMPAL,India_Motor_Parts_and_Accessories_Limited
555,IMPEXFERRO,Impex_Ferro_Tech_Limited
556,INDBANK,Indbank_Merchant_Banking_Services_Limited
557,INDHOTEL,The_Indian_Hotels_Company_Limited
558,INDIABULLS,Indiabulls_Financial_Services_Limited
559,INDIACEM,The_India_Cements_Limited
560,INDIAGLYCO,India_Glycols_Limited
561,INDIAINFO,India_Infoline_Limited
562,INDIANB,Indian_Bank
563,INDIANCARD,Indian_Card_Clothing_Company_Limited
564,INDIANHUME,Indian_Hume_Pipe_Company_Limited
565,INDLMETER,IMP_Powers_Limited
566,INDNIPPON,India_Nippon_Electricals_Limited
